"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
53,2025/12/17,11:19:05,269,10,6,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.463400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
54,2025/12/17,11:19:06,270,10,7,1.000000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.847000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
55,2025/12/17,11:19:06,271,11,1,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.515400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
56,2025/12/17,11:19:07,272,11,2,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.903400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
57,2025/12/17,11:19:07,273,11,3,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.288400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
58,2025/12/17,11:19:07,274,11,4,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.672200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
59,2025/12/17,11:19:08,275,11,5,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.057700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
60,2025/12/17,11:19:08,276,11,6,9.700000E+01,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.450100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
61,2025/12/17,11:19:08,277,11,7,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.835100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
62,2025/12/17,11:19:09,278,12,1,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.519000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
63,2025/12/17,11:19:09,279,12,2,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.893800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
64,2025/12/17,11:19:10,280,12,3,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.275400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
65,2025/12/17,11:19:10,281,12,4,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.021000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
66,2025/12/17,11:19:10,282,12,5,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.909000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
67,2025/12/17,11:19:10,283,12,6,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,8.733000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
68,2025/12/17,11:19:11,284,12,7,9.900000E+01,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.268400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
69,2025/12/17,11:19:11,285,13,1,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.940500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
70,2025/12/17,11:19:12,286,13,2,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.320800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
71,2025/12/17,11:19:12,287,13,3,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.704800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
72,2025/12/17,11:19:12,288,13,4,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.087600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
73,2025/12/17,11:19:13,289,13,5,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.471500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
74,2025/12/17,11:19:13,290,13,6,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.857800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
75,2025/12/17,11:19:13,291,13,7,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.242000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
76,2025/12/17,11:19:14,292,14,1,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.915000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
77,2025/12/17,11:19:14,293,14,2,1.090000E+02,6,970,7.579000E+03,8.447000E+03,1.100000E+01,6.386700E+04,1.602600E+04,3.338800E+04,3.505000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
78,2025/12/17,11:19:14,294,14,3,1.100000E+02,6,949,8.280000E+03,7.078000E+03,1.100000E+01,6.420100E+04,1.265400E+04,3.338800E+04,3.996000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
79,2025/12/17,11:19:15,295,14,4,1.130000E+02,6,983,7.011000E+03,7.278000E+03,1.000000E+01,6.423400E+04,9.248000E+03,3.338800E+04,4.444000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
80,2025/12/17,11:19:15,296,14,5,1.050000E+02,6,989,8.547000E+03,6.811000E+03,1.200000E+01,6.420100E+04,5.909000E+03,3.338800E+04,4.958000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
81,2025/12/17,11:19:15,297,14,6,1.050000E+02,6,993,8.079000E+03,6.710000E+03,1.200000E+01,6.426800E+04,2.637000E+03,3.338800E+04,5.550000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
82,2025/12/17,11:19:16,298,14,7,1.060000E+02,6,996,7.545000E+03,8.113000E+03,1.000000E+01,6.426800E+04,6.496900E+04,3.338800E+04,6.282000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
83,2025/12/17,11:19:16,299,15,1,1.000000E+02,6,979,7.378000E+03,7.679000E+03,1.000000E+01,6.426800E+04,5.829100E+04,3.338800E+04,7.186000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
84,2025/12/17,11:19:17,300,15,2,1.050000E+02,6,982,8.146000E+03,7.979000E+03,1.000000E+01,6.420100E+04,5.501900E+04,3.338800E+04,7.729000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
85,2025/12/17,11:19:17,301,15,3,1.130000E+02,6,966,8.046000E+03,7.579000E+03,1.000000E+01,6.426800E+04,5.198100E+04,3.338800E+04,8.533000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
86,2025/12/17,11:19:17,302,15,4,1.040000E+02,6,895,7.278000E+03,9.348000E+03,1.200000E+01,6.443500E+04,4.884200E+04,3.338800E+04,9.163000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
87,2025/12/17,11:19:18,303,15,5,1.070000E+02,4,648,7.145000E+03,6.176000E+03,1.100000E+01,6.450100E+04,4.486900E+04,3.338800E+04,8.982000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
88,2025/12/17,11:19:18,304,15,6,9.900000E+01,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.343900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
89,2025/12/17,11:19:18,305,15,7,1.020000E+02,4,389,6.510000E+03,5.008000E+03,1.200000E+01,6.022800E+04,1.101000E+03,3.338800E+04,3.840400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
90,2025/12/17,11:19:19,306,16,1,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.404600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
91,2025/12/17,11:19:19,307,16,2,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.785300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
92,2025/12/17,11:19:20,308,16,3,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.167900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
93,2025/12/17,11:19:20,309,16,4,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.200000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.553100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
